#mass,luminosity,temperature
#(1.98892e+30 * system.get('S.I.').base('mass')),(((3.839e+26 * (system.get('S.I.').base('length')**2)) * system.get('S.I.').base('mass')) * (system.get('S.I.').base('time')**-3)),system.get('S.I.').base('thermodynamic temperature')
#MSun,LSun,K
0.0101713169266,2.75219868184e-05,1321.58700241
0.0635547402927,0.00347147940821,4428.98757097
0.201878042062,0.00577991581565,3304.88670165
1.86193109232,12.0162839015,8523.97043307
0.490750614197,0.0360301023857,3746.43962812
0.0131067840844,5.37519015758e-05,1562.3353931
0.670616747973,0.105927395603,4161.64696141
0.360210886227,0.0184307670864,3624.2029767
0.355549087689,0.017979048273,3619.47101021
0.104109670207,0.00107990075139,2837.95003678
0.0864486571501,0.000607425930961,2409.85863031
0.0642407391366,0.00357127922015,4460.48173003
0.0192310256562,0.000147900782098,2012.18742596
0.0484257729625,0.0016935816222,3701.49652701
0.0521903173585,0.00206367567631,3888.98416217
0.11325179225,0.00137506973156,2895.33769077
0.306529377548,0.0135746037668,3557.72273409
0.109532948035,0.00125096222677,2872.49509455
