#mass,luminosity,temperature
#(1.98892e+30 * system.get('S.I.').base('mass')),(((3.839e+26 * (system.get('S.I.').base('length')**2)) * system.get('S.I.').base('mass')) * (system.get('S.I.').base('time')**-3)),system.get('S.I.').base('thermodynamic temperature')
#MSun,LSun,K
0.165237468346,0.00364817176191,3162.05610738
0.0820225408197,0.000510108024548,2286.80746349
0.120387530446,0.00162839953334,2937.44979514
0.173041130515,0.00406900803648,3195.26108722
0.146894014313,0.0027367820208,3077.57269254
0.114359651042,0.00141309091982,2902.01989031
0.121598073302,0.0016733313462,2944.3859208
0.0383208726906,0.0115608592347,5983.05977076
0.416281493531,0.0245445809031,3673.72911032
0.13785091328,0.00232989617404,3032.35944629
0.030043391484,0.00608104094795,5095.30628527
0.334755510218,0.0160395449632,3596.27332296
0.924529940605,0.476301122544,5293.57955385
1.11870412173,1.19853999409,5952.48611658
0.0794179041321,0.000456937048459,2212.80098283
0.030826581109,0.00650854084298,5182.58843754
0.127236768534,0.00188996987475,2975.95903558
0.0268491383345,0.00451956682485,4730.96806176
0.941075140566,0.519339506966,5364.57346197
